,country,show_id
1282,Hong Kong,923574
1283,United States,81152930
1284,United States,973861
1285,United States,70058796
1286,United States,70047101
1287,United Kingdom,81189396
1288,United States,70093991
1289,United States,60033247
1290,United States,70060000
1291,United Kingdom,70295067
1292,United States,70031779
1293,United States,1178866
1294,United States,60033312
1295,United States,684847
1296,Italy,81150305
1297,United States,20557937
1298,United States,60027695
1299,United States,60031303
1300,United States,848915
1301,United States,60022980
1302,United States,60003961
1303,United States,70060005
1304,Argentina,70266992
1305,United States,70084791
1306,United States,70123542
1307,India,70107499
1308,India,70123117
1309,India,70100644
1310,India,80057750
1311,India,70229045
1312,India,70139073
1313,India,81024731
1314,India,70219525
1315,United States,16914787
1316,India,80039595
1317,India,70123120
1318,Canada,80224055
1319,India,70052249
1320,United Kingdom,70084775
1321,India,70114588
1322,India,70185139
1323,United States,80232501
1324,Brazil,80210147
1325,United States,80224606
1326,India,80058851
1327,United States,80175945
1328,India,70219528
1329,Thailand,80241947
1330,India,70241088
1331,India,70068799
1332,India,70229044
1333,India,70254349
1334,India,70254342
1335,India,80084838
1336,India,70254346
1337,India,70229040
1338,United States,70056663
1339,India,80067906
1340,India,70071832
1341,United States,70273401
1342,Germany,80097390
1343,India,70106268
1344,India,80039594
1345,India,70139076
1346,India,70109758
1347,India,70123126
1348,India,70303431
1349,India,70254351
1350,India,70275076
1351,India,80189997
1352,United States,81015100
1353,United States,80076581
1354,United Kingdom,81025404
1355,United States,80182949
1356,New Zealand,70060017
1357,United Kingdom,70266675
1358,South Africa,80155792
1359,India,70108590
1360,India,81024728
1361,India,70185141
1362,India,80201826
1363,India,80158388
1364,India,80203778
1365,India,80201820
1366,Spain,80103312
1367,Japan,80205563
1368,United Arab Emirates,80202605
1369,France,80208211
1370,India,80203791
1371,India,80079229
1372,Pakistan,80080145
1373,India,80216270
1374,Germany,80157797
1375,Canada,80032364
1376,India,80203786
1377,India,80032097
1378,United States,80156684
1379,South Korea,80187302
1380,China,80174727
1381,Singapore,80157714
1382,India,80201827
1383,Canada,80179288
1384,India,80203780
1385,Mexico,80216215
1386,India,80211371
1387,United Kingdom,80144358
1388,Taiwan,80111881
1389,Taiwan,80112186
1390,Taiwan,80112079
1391,Taiwan,80112077
1392,Taiwan,80112075
1393,Taiwan,70303291
1394,United States,80097360
1395,Spain,80093212
1396,Australia,60000545
1397,Australia,80025702
1398,Canada,80128692
1399,Australia,80156369
1400,Hong Kong,1145882
1401,Canada,70288423
